,nome,Tipo,Empresa,Setor,Subsetor,Cotação,Valor de mercado,Valor da firma,P/L,P/VP,P/EBIT,PSR,P/Ativos,P/Cap. Giro,P/Ativ Circ Liq,Div. Yield,EV / EBITDA,EV / EBIT,Cres. Rec (5a),LPA,VPA,Marg. Bruta,Marg. EBIT,Marg. Líquida,EBIT / Ativo,ROIC,ROE,Liquidez Corr,Div Br/ Patrim,Giro Ativos,Ativo,Patrim. Líq
0,MGLU3,ON NM,MAGAZ LUIZA ON NM,Comércio,Eletrodomésticos,"2,16",14.577.700.000,18.696.100.000,"-36,66","1,53","14,20","0,39","0,39","6,20","-1,84","0,0%","8,06","8,06","19,5%","-0,06","1,41","28,5%","2,7%","-1,1%","2,8%","4,2%","-4,2%","1,14","0,78","1,01","0,39",9.532.650.000
1,CVCB3,ON NM,CVC BRASIL ON NM,Viagens e Lazer,Viagens e Turismo,"3,50",1.839.570.000,2.230.190.000,"-3,84","4,22","-318,37","1,46","0,46","-4,45","-1,34","0,0%","10,91","10,91","-4,3%","-0,91","0,83","100,0%","-0,5%","-38,0%","-0,1%","-0,2%","-109,8%","0,84","1,73","0,31","0,46",436.424.000
2,HAPV3,ON NM,HAPVIDA ON NM,Serv.Méd.Hospit. Análises e Diagnósticos,Serv.Méd.Hospit. Análises e Diagnósticos,"4,45",33.550.600.000,39.028.700.000,"-32,75","0,68","961,59","1,24","0,45","78,80","-2,00","0,0%","17,42","17,42","52,9%","-0,14","6,51","24,4%","0,1%","-3,8%","0,0%","0,1%","-2,1%","1,05","0,22","0,36","0,45",49.114.400.000
3,EMBR3,ON,EMBRAER ON,Material de Transporte,Material Aeronáutico e de Defesa,"22,39",16.579.000.000,23.000.000.000,"-405,93","1,30","7,47","0,62","0,32","1,43","-1,93","0,0%","6,78","6,78","21,6%","-0,06","17,23","18,0%","8,3%","-0,3%","4,3%","5,6%","-0,3%","1,65","1,12","0,51","0,32",12.757.400.000
4,AERI3,ON NM,AERIS ON NM,Máquinas e Equipamentos,Máq. e Equip. Industriais,"0,90",1.118.160.000,2.141.690.000,"-10,22","1,37","3,80","0,35","0,29","1,37","-2,66","0,0%","6,16","6,16","10,4%","-0,09","0,66","12,6%","9,1%","-3,4%","7,7%","10,7%","-13,4%","1,46","2,17","0,84","0,29",815.079.000
5,ITSA4,PN N1,ITAÚSA PN N1,Intermediários Financeiros,Bancos,"10,37",107.103.000.000,109.927.000.000,"7,76","1,34","117,96","14,44","1,04","21,50","-16,96","5,3%","56,66","56,66","14,4%","1,34","7,72","33,6%","12,2%","193,3%","0,9%","1,0%","17,3%","1,65","0,14","0,07","1,04",79.738.000.000
6,IFCM3,ON NM,INFRACOMM ON NM,Programas e Serviços,Programas e Serviços,"1,85",1.179.070.000,1.734.480.000,"-4,60","0,86","-26,04","1,11","0,37","-45,32","-1,21","0,0%","14,20","14,20","34,1%","-0,40","2,14","43,4%","-4,2%","-24,0%","-1,4%","-1,8%","-18,7%","0,97","0,56","0,33","0,37",1.366.400.000
7,PETR4,PN,PETROBRAS PN,"Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição","37,24",485.777.000.000,724.081.000.000,"3,55","1,26","2,02","0,91","0,47","-66,91","-0,99","19,5%","2,29","2,29","20,3%","10,50","29,59","51,1%","44,9%","25,6%","23,5%","25,8%","35,5%","0,95","0,79","0,52","0,47",386.007.000.000
8,CIEL3,ON NM,CIELO ON NM,Serviços Financeiros Diversos,Serviços Financeiros Diversos,"4,69",12.741.900.000,18.298.200.000,"6,09","1,06","8,19","1,94","0,13","1,03","3,54","4,6%","9,00","9,00","-4,3%","0,77","4,41","48,3%","23,7%","31,9%","1,6%","5,3%","17,5%","1,17","0,54","0,07","0,13",11.970.700.000
9,B3SA3,ON,B3 ON,Serviços Financeiros Diversos,Serviços Financeiros Diversos,"14,55",82.156.600.000,78.802.600.000,"19,47","4,06","15,20","7,82","1,72","15,06","-7,89","2,8%","12,17","12,17","14,5%","0,75","3,58","85,7%","51,5%","40,2%","11,3%","16,5%","20,9%","1,46","0,57","0,22","1,72",20.233.800.000
10,VAMO3,ON NM,VAMOS ON NM,Diversos,Aluguel de carros,"10,07",11.120.500.000,19.872.500.000,"17,22","2,28","5,30","1,85","0,58","3,92","-1,27","3,3%","7,63","7,63","63,6%","0,58","4,42","44,4%","34,8%","10,7%","10,9%","12,6%","13,2%","2,03","2,13","0,31","0,58",4.878.780.000
11,SOMA3,ON NM,GRUPO SOMA ON NM,Comércio,"Tecidos, Vestuário e Calçados","7,45",5.846.370.000,6.999.500.000,"19,13","0,77","11,48","1,12","0,54","4,02","23,63","1,4%","8,63","8,63","59,6%","0,39","9,73","56,6%","9,8%","5,9%","4,7%","5,2%","4,0%","1,76","0,17","0,49","0,54",7.637.750.000
12,VALE3,ON NM,VALE ON NM,Mineração,Minerais Metálicos,"77,20",350.411.000.000,400.532.000.000,"7,37","1,84","4,38","1,70","0,79","68,01","-2,01","7,9%","4,18","4,18","10,7%","10,47","41,90","40,1%","38,8%","23,3%","17,9%","20,1%","25,0%","1,08","0,37","0,46","0,79",190.172.000.000
13,ABEV3,ON,AMBEV S/A ON,Bebidas,Cervejas e Refrigerantes,"13,73",216.300.000.000,202.377.000.000,"14,34","2,40","12,72","2,62","1,57","58,35","-24,58","5,3%","8,76","8,76","13,2%","0,96","5,73","50,3%","20,6%","18,8%","12,3%","16,5%","16,7%","1,11","0,04","0,60","1,57",90.254.900.000
14,RAIZ4,PN N2,RAIZEN PN N2,"Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição","4,03",41.720.600.000,83.239.700.000,"12,31","1,89","4,43","0,19","0,34","11,70","-1,00","6,6%","4,83","4,83","19,6%","0,33","2,13","8,0%","4,2%","1,6%","7,7%","9,9%","15,3%","1,07","2,18","1,82","0,34",22.074.200.000
15,AMER3,ON,AMERICANAS ON,Comércio,Produtos Diversos,"0,91",821.302.000,17.497.900.000,"-0,06","-0,03","-0,20","0,03","0,03","-0,02","-0,02","0,0%","-7,27","-7,27","48,8%","-14,31","-29,55","19,5%","-15,6%","-50,0%","-12,8%","-21,6%","48,4%","0,34","-0,85","0,82","0,03",-26.666.600.000
16,BBDC4,PN N1,BANCO BRADESCO S.A. PN N1,Intermediários Financeiros,Bancos,"17,09",181.875.000.000,-,"12,24","1,13",-,-,-,-,-,"9,9%",-,-,"-14,5%","1,40","15,11",-,-,"0,0%","0,0%",-,"9,2%",-,-,-,-,160.801.000.000
17,COGN3,ON,COGNA ON,Diversos,Serviços Educacionais,"3,49",6.549.360.000,12.626.800.000,"-21,90","0,54","5,09","1,15","0,26","8,45","-0,85","0,0%","6,46","6,46","-6,4%","-0,16","6,44","64,8%","22,6%","-5,5%","5,1%","5,6%","-2,5%","1,21","0,61","0,23","0,26",12.083.300.000
18,SEQL3,ON NM,SEQUOIA LOG ON NM,Serviços Diversos,Serviços Diversos,"0,38",133.698.000,1.107.690.000,"-0,26","1,05","-0,37","0,13","0,08","-0,56","-0,12","0,0%","-5,38","-5,38","-14,8%","-1,46","0,36","2,5%","-35,3%","-50,0%","-21,4%","-23,2%","-404,6%","0,64","7,77","0,61","0,08",126.809.000
19,GFSA3,ON,GAFISA ON,Construção Civil,Incorporações,"10,42",659.242.000,2.352.100.000,"-3,03","0,39","-5,53","0,55","0,13","0,36","8,55","0,0%","-26,75","-26,75","31,3%","-3,44","26,68","3,5%","-10,0%","-18,3%","-2,3%","-2,4%","-12,9%","2,03","1,16","0,23","0,13",1.687.910.000
20,MRVE3,ON NM,MRV ON NM,Construção Civil,Incorporações,"11,23",6.310.930.000,13.267.900.000,"-26,62","0,92","31,94","0,88","0,26","1,18","-1,09","0,0%","36,93","36,93","3,9%","-0,42","12,21","21,9%","2,8%","-2,9%","0,8%","0,9%","-3,5%","1,99","1,12","0,30","0,26",6.862.600.000
21,ITUB4,PN N1,ITAUUNIBANCO PN N1,Intermediários Financeiros,Bancos,"33,97",333.046.000.000,-,"10,71","1,90",-,-,-,-,-,"3,7%",-,-,"28,6%","3,17","17,89",-,-,"0,0%","0,0%",-,"17,7%",-,-,-,-,175.414.000.000
22,TRPL4,PN N1,TRANSMISSÃO PAULISTA PN N1,Energia Elétrica,Energia Elétrica,"26,50",17.460.400.000,24.678.000.000,"7,39","0,97","5,52","3,03","0,50","6,29","-1,61","8,3%","7,74","7,74","13,9%","3,59","27,28","59,8%","54,9%","41,9%","9,0%","9,5%","13,1%","1,90","0,50","0,16","0,50",17.977.200.000
23,LWSA3,ON NM,LOCAWEB ON NM,Programas e Serviços,Programas e Serviços,"6,01",3.580.540.000,2.543.580.000,"-404,31","1,23","51,94","2,87","0,80","6,10","10,99","0,9%","13,77","13,77","41,7%","-0,01","4,90","45,4%","5,5%","-0,7%","1,5%","2,1%","-0,3%","1,45","0,02","0,28","0,80",2.921.510.000
24,PETZ3,ON NM,PETZ ON NM,Comércio,Produtos Diversos,"3,95",1.826.970.000,1.811.630.000,"57,03","1,01","9,90","0,58","0,46","2,82","-2,27","0,4%","3,64","3,64","27,0%","0,07","3,90","46,6%","5,9%","1,0%","4,6%","5,8%","1,8%","1,90","0,25","0,79","0,46",1.801.540.000
25,PETR3,ON,PETROBRAS ON,"Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição","38,98",508.475.000.000,746.779.000.000,"3,71","1,32","2,11","0,95","0,50","-70,04","-1,04","18,6%","2,36","2,36","20,3%","10,50","29,59","51,1%","44,9%","25,6%","23,5%","25,8%","35,5%","0,95","0,79","0,52","0,50",386.007.000.000
26,LREN3,ON,RENNER ON,Comércio,"Tecidos, Vestuário e Calçados","17,42",16.779.400.000,15.666.400.000,"18,02","1,72","6,03","1,25","0,84","3,50","11,13","4,1%","4,06","4,06","13,7%","0,97","10,14","60,2%","20,8%","7,0%","14,0%","18,4%","9,5%","1,70","0,22","0,67","0,84",9.765.090.000
